algorithm,dataset,input_files,merged_rows,pareto_rows,reference_rows,hv,spread,igd,mdh,output_file
NSGA2,BankChurners.csv,1,29,29,358,0.8506391965205311,0.7094601760886888,0.05541457713873685,0.9860494502167954,pass_3_outputs\BankChurners\NSGA2.csv
MOEAD,BankChurners.csv,1,63,63,358,0.47850207010231216,0.2638346042964419,0.06563773765789298,0.9548754666599055,pass_3_outputs\BankChurners\MOEAD.csv
NSGA3,BankChurners.csv,1,16,16,358,0.9253726878060382,0.7811951252169477,0.07627613927470314,0.9218150520289392,pass_3_outputs\BankChurners\NSGA3.csv
UNSGA3,BankChurners.csv,1,15,15,358,0.9246164943322781,0.7615271162281153,0.07632792557503291,0.9129435657045517,pass_3_outputs\BankChurners\UNSGA3.csv
RNSGA3,BankChurners.csv,1,2,2,358,0.7752156208259551,0.5537058473146532,0.40686375810597614,0.6322055246343288,pass_3_outputs\BankChurners\RNSGA3.csv
RVEA,BankChurners.csv,1,66,66,358,0.708630327182892,0.5441493682188691,0.08946497406725845,0.9819813179087686,pass_3_outputs\BankChurners\RVEA.csv
AGEMOEA,BankChurners.csv,1,31,31,358,0.9236081078163163,0.6734342195705125,0.04975358297252478,0.947349529599959,pass_3_outputs\BankChurners\AGEMOEA.csv
AGEMOEA2,BankChurners.csv,1,30,30,358,0.8640830857320274,0.6842846814600945,0.059831733154753805,0.9456428988153627,pass_3_outputs\BankChurners\AGEMOEA2.csv
CTAEA,BankChurners.csv,1,182,182,358,0.9312270499231222,0.34725413676685535,0.015192056053381205,0.9254326732166395,pass_3_outputs\BankChurners\CTAEA.csv
NSGA2,billing10k.csv,1,16,16,21,0.7841914893617024,0.6578836683591848,0.0073251372216581985,0.854732946159736,pass_3_outputs\billing10k\NSGA2.csv
MOEAD,billing10k.csv,1,6,6,21,0.48790307328605226,0.5240846665617881,0.25999572858009556,0.8725473703494017,pass_3_outputs\billing10k\MOEAD.csv
NSGA3,billing10k.csv,1,16,16,21,0.787808510638298,0.5722799233746879,0.01859151391390038,0.810962433731849,pass_3_outputs\billing10k\NSGA3.csv
UNSGA3,billing10k.csv,1,15,15,21,0.7759172576832153,0.6559553562659013,0.02031603129670449,0.8493076770195346,pass_3_outputs\billing10k\UNSGA3.csv
RNSGA3,billing10k.csv,1,2,2,21,0.44917966903073314,0.9553723550319391,0.3891612197036424,0.8632844121241886,pass_3_outputs\billing10k\RNSGA3.csv
RVEA,billing10k.csv,1,32,32,21,0.7844278959810878,0.6079282996068917,0.027401400637503244,0.8686429489278796,pass_3_outputs\billing10k\RVEA.csv
AGEMOEA,billing10k.csv,1,17,17,21,0.787808510638298,0.5570002878995809,0.01859151391390038,0.807969965887193,pass_3_outputs\billing10k\AGEMOEA.csv
AGEMOEA2,billing10k.csv,1,18,18,21,0.7889196217494092,0.6264076658886382,0.0,0.8416501656919654,pass_3_outputs\billing10k\AGEMOEA2.csv
CTAEA,billing10k.csv,1,20,20,21,0.7889196217494092,0.6033241138506438,0.0,0.8308191160694257,pass_3_outputs\billing10k\CTAEA.csv
NSGA2,Data_COVID19_Indonesia.csv,1,24,24,35,0.39939117185389533,0.6532960486162105,0.007223526533588326,1.0444130401969203,pass_3_outputs\Data_COVID19_Indonesia\NSGA2.csv
MOEAD,Data_COVID19_Indonesia.csv,1,10,10,35,0.3564954609603518,0.6857855720745927,0.0668308640337234,1.1545913906695735,pass_3_outputs\Data_COVID19_Indonesia\MOEAD.csv
NSGA3,Data_COVID19_Indonesia.csv,1,9,9,35,0.36030157127744017,0.7114472444427282,0.048722623136077656,1.0526720857455694,pass_3_outputs\Data_COVID19_Indonesia\NSGA3.csv
UNSGA3,Data_COVID19_Indonesia.csv,1,8,8,35,0.36775485446062256,0.7158338634208541,0.0559170468390332,1.0353256069500527,pass_3_outputs\Data_COVID19_Indonesia\UNSGA3.csv
